Time(s)    x(m)   y(m)   vx(m/s)   vy(m/s) 
  3.5 149.6262426060437 26.78334647302433 28.95789335066414 -0.9104511083014014
 3.55 151.0684640745571 26.73112113883816 28.73172654101219 -1.178550344128902
  3.6 152.4994906532553 26.66549295999647 28.51008339823393 -1.446558319408277
 3.65 153.9195463913979 26.58646748021246 28.29287895445487 -1.714435917586142
  3.7 155.3288511486042 26.49405218257693 28.08003058060064 -1.982144676548101
 3.75 156.7276207101084 26.38825645735377 27.87145791930757 -2.249646768257755
  3.8 158.116066898702 26.26909157074432 27.66708281944021 -2.516904980339508
 3.85 159.4943976834392 26.1365706345267 27.46682927209261 -2.78388269947387
  3.9 160.862817285177 25.99070857648282 27.2706233479616 -3.050543896474932
 3.95 162.221526279017 25.83152211153216 27.07839313599213 -3.316853112920979
    4 163.5707216937077 25.65902971349779 26.8900686832063 -3.582775449210924
 4.05 164.9105971080685 25.47325158743661 26.70558193563892 -3.848276553921503
4.100000000000001 166.2413427444846 25.27420964247168 26.52486668031441 -4.113322614342877
 4.15 167.5631455595271 25.06192746507091 26.34785848821018 -4.377880348073619
  4.2 168.8761893317441 24.8364302927218 26.17449465816291 -4.641916995559972
 4.25 170.1806547466705 24.59774498795801 26.00471416168409 -4.905400313468707
  4.3 171.4767194791007 24.34590001269863 25.83845758866121 -5.168298568788029
4.350000000000001 172.7645582726679 24.08092540286631 25.67566709392985 -5.430580533556499
  4.4 174.0443430167741 23.80285274325518 25.51628634471069 -5.69221548012615
 4.45 175.3162428209128 23.51171514262412 25.360260468913 -5.953173176872441
  4.5 176.5804240864299 23.20754720899509 25.20753600431311 -6.213423884270725
 4.55 177.8370505757644 22.89038502513991 25.05806084862242 -6.47293835126611
4.600000000000001 179.0862834792162 22.56026612424267 24.91178421046469 -6.731687811871111
 4.65 180.3282814792852 22.2172294657278 24.76865656128629 -6.98964398193308
  4.7 181.5632008126304 21.86131541124653 24.62862958822686 -7.246779056021067
 4.75 182.7911953296968 21.49256570081696 24.49165614797956 -7.503065704389379
4.800000000000001 184.0124165520606 21.11102342911479 24.35769022167189 -7.758477069982481
4.850000000000001 185.227013727545 20.71673302191338 24.22668687079855 -8.012986765453153
  4.9 186.4351338831593 20.30974021267296 24.09860219423726 -8.26656887017262
 4.95 187.6369218759167 19.89009201927995 23.97339328637776 -8.519197927217839
    5 188.8325204415866 19.45783672093765 23.85101819639202 -8.770848940327111
5.050000000000001 190.02207024144 19.01302383520999 23.73143588867149 -9.021497370820565
5.100000000000001 191.2057099070458 18.55570409522013 23.61460620445449 -9.271119134486952
 5.15 192.3835760831794 18.08592942700547 23.50048982466268 -9.519690598442418
  5.2 193.555803468903 17.60375292703024 23.38904823396285 -9.76718857797046
 5.25 194.7225248568804 17.10922883985628 23.28024368606511 -10.01359033335523
5.300000000000001 195.8838711709871 16.60241253597206 23.17403917026522 -10.25887356672265
5.350000000000001 197.0399715022796 16.08336048977909 23.07039837923399 -10.50301641890549
  5.4 198.1909531433844 15.55213025773414 22.96928567805245 -10.74599746634957
 5.45 199.3369416213706 15.00878045664473 22.87066607448735 -10.98779571807868
  5.5 200.4780607291667 14.45337074211455 22.77450519049727 -11.22839061273606
5.550000000000001 201.614432555583 13.88596178713457 22.68076923495563 -11.46776201571934
5.600000000000001 202.7461775140006 13.30661526081466 22.58942497757354 -11.70589021642528
 5.65 203.873414369786 12.71539380724995 22.50043972400139 -11.94275592561923
  5.7 204.9962602664897 12.11236102451531 22.41378129208571 -12.1783402729425
 5.75 206.114830750886 11.49758144378082 22.32941798925432 -12.41262480456924
5.800000000000001 207.2292397969095 10.87112050854035 22.24731859100107 -12.64559148102213
5.850000000000001 208.3395998285431 10.23304455394533 22.16745232043883 -12.87722267515431
  5.9 209.4460217417093 9.5834207862351 22.08978882888813 -13.10750117030238
 5.95 210.5486149252162 8.922317262255319 22.01429817746721 -13.33641015861341
    6 211.6474872808073 8.249802869055602 21.94095081964849 -13.56393323954633
